score	kind	address	off	on	off_hex	on_hex	module	region_type	protect
28	u32	0x00000289ffcee9c8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceea00	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffceea08	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeaa0	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffceeab0	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffceeab8	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffceeac0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffceeac8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeb00	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeb10	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeb18	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeb20	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffceeb28	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeb80	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeb90	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeb98	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceeba0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffceeba8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceed70	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffceed78	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceee08	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceee50	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffceeed8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffceef20	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffceef30	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffceef40	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffceef48	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcfb6d4	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffd02360	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffd6b5f8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffd6b608	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffd6b618	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffda1eb0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffda1ed8	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffda1f00	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffda1f68	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffda2010	1	2	0x00000001	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289fff67128	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff67130	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff699c8	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff699d0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff6c3a8	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff6c3b0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff6d028	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff6d030	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff6d488	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff6d490	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff6e248	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff6e250	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff6eba8	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff6ebb0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff70228	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff70230	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff70908	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff70910	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff72848	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff72850	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff757c8	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff757d0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff77528	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff77530	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff79fa8	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289fff79fb0	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289fff7a278	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289fff7a2a0	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289fff7a460	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a464	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a46c	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a470	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a478	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a47c	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a484	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a488	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a550	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289fff7a5c8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
