base	size	type	protect	module	diff_pages	diff_bytes	diff_ratio	first_diff	entropy	file_off	file_on
0x00000289b8720000	0x20000	PRIVATE	READWRITE		1	8	0.00006104	0x00000289b8728000	3.044	region_3431_0x00000289b8720000_0x20000_PRIVATE_READWRITE.bin	region_3425_0x00000289b8720000_0x20000_PRIVATE_READWRITE.bin
0x00000289f2bf0000	0x20000	PRIVATE	READWRITE		2	8	0.00006104	0x00000289f2bf6000	5.143	region_6673_0x00000289f2bf0000_0x20000_PRIVATE_READWRITE.bin	region_6681_0x00000289f2bf0000_0x20000_PRIVATE_READWRITE.bin
0x00000289b9170000	0x30000	PRIVATE	READWRITE		1	12	0.00006104	0x00000289b9170000	1.629	region_3581_0x00000289b9170000_0x30000_PRIVATE_READWRITE.bin	region_3575_0x00000289b9170000_0x30000_PRIVATE_READWRITE.bin
0x00000289f86a0000	0x40000	PRIVATE	READWRITE		1	16	0.00006104	0x00000289f86b5000	4.592	region_6798_0x00000289f86a0000_0x40000_PRIVATE_READWRITE.bin	region_6806_0x00000289f86a0000_0x40000_PRIVATE_READWRITE.bin
0x000002899c8c0000	0x20000	PRIVATE	READWRITE		1	9	0.00006866	0x000002899c8dc000	7.243	region_1507_0x000002899c8c0000_0x20000_PRIVATE_READWRITE.bin	region_1501_0x000002899c8c0000_0x20000_PRIVATE_READWRITE.bin
0x00007ff41d590000	0x110000	PRIVATE	READWRITE		2	78	0.00007001	0x00007ff41d599000	3.138	region_7192_0x00007ff41d590000_0x110000_PRIVATE_READWRITE.bin	region_7202_0x00007ff41d590000_0x110000_PRIVATE_READWRITE.bin
0x00000289e51a0000	0x30000	PRIVATE	READWRITE		1	14	0.00007121	0x00000289e51b0000	6.716	region_6291_0x00000289e51a0000_0x30000_PRIVATE_READWRITE.bin	region_6299_0x00000289e51a0000_0x30000_PRIVATE_READWRITE.bin
0x00000289993a0000	0x10000	PRIVATE	READWRITE		1	5	0.00007629	0x00000289993a7000	1.485	region_0838_0x00000289993a0000_0x10000_PRIVATE_READWRITE.bin	region_0832_0x00000289993a0000_0x10000_PRIVATE_READWRITE.bin
0x00000289f85d0000	0x10000	PRIVATE	READWRITE		2	5	0.00007629	0x00000289f85d0000	2.076	region_6787_0x00000289f85d0000_0x10000_PRIVATE_READWRITE.bin	region_6795_0x00000289f85d0000_0x10000_PRIVATE_READWRITE.bin
0x00000289ac4d0000	0x40000	PRIVATE	READWRITE		2	20	0.00007629	0x00000289ac505000	4.641	region_1551_0x00000289ac4d0000_0x40000_PRIVATE_READWRITE.bin	region_1545_0x00000289ac4d0000_0x40000_PRIVATE_READWRITE.bin
