file	base	allocation_base	size	bytes_read	protect	type
region_0132_0x000000af495fa000_0x16000_PRIVATE_READWRITE.bin	0x000000af495fa000	0x000000af49510000	0x16000	0x16000	READWRITE	PRIVATE
region_0133_0x000000af4970e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4970e000	0x000000af49610000	0x2000	0x2000	READWRITE	PRIVATE
region_0134_0x000000af49710000_0x100000_PRIVATE_READWRITE.bin	0x000000af49710000	0x000000af49710000	0x100000	0x100000	READWRITE	PRIVATE
region_0135_0x000000af49900000_0x10000_PRIVATE_READWRITE.bin	0x000000af49900000	0x000000af49810000	0x10000	0x10000	READWRITE	PRIVATE
region_0136_0x000000af4991e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4991e000	0x000000af49910000	0x2000	0x2000	READWRITE	PRIVATE
region_0137_0x000000af49a1d000_0x3000_PRIVATE_READWRITE.bin	0x000000af49a1d000	0x000000af49920000	0x3000	0x3000	READWRITE	PRIVATE
region_0138_0x000000af49a2e000_0x2000_PRIVATE_READWRITE.bin	0x000000af49a2e000	0x000000af49a20000	0x2000	0x2000	READWRITE	PRIVATE
region_0139_0x000000af49b2b000_0x5000_PRIVATE_READWRITE.bin	0x000000af49b2b000	0x000000af49a30000	0x5000	0x5000	READWRITE	PRIVATE
region_0140_0x000000af49b3b000_0x5000_PRIVATE_READWRITE.bin	0x000000af49b3b000	0x000000af49b30000	0x5000	0x5000	READWRITE	PRIVATE
region_0141_0x000000af49b4b000_0x5000_PRIVATE_READWRITE.bin	0x000000af49b4b000	0x000000af49b40000	0x5000	0x5000	READWRITE	PRIVATE
region_0142_0x000000af49b5c000_0x4000_PRIVATE_READWRITE.bin	0x000000af49b5c000	0x000000af49b50000	0x4000	0x4000	READWRITE	PRIVATE
region_0143_0x000000af49b6b000_0x5000_PRIVATE_READWRITE.bin	0x000000af49b6b000	0x000000af49b60000	0x5000	0x5000	READWRITE	PRIVATE
region_0144_0x000000af49b7c000_0x4000_PRIVATE_READWRITE.bin	0x000000af49b7c000	0x000000af49b70000	0x4000	0x4000	READWRITE	PRIVATE
region_0145_0x000000af49b8c000_0x4000_PRIVATE_READWRITE.bin	0x000000af49b8c000	0x000000af49b80000	0x4000	0x4000	READWRITE	PRIVATE
region_0146_0x000000af49b9c000_0x4000_PRIVATE_READWRITE.bin	0x000000af49b9c000	0x000000af49b90000	0x4000	0x4000	READWRITE	PRIVATE
region_0147_0x000000af49bab000_0x5000_PRIVATE_READWRITE.bin	0x000000af49bab000	0x000000af49ba0000	0x5000	0x5000	READWRITE	PRIVATE
region_0148_0x000000af49bbb000_0x5000_PRIVATE_READWRITE.bin	0x000000af49bbb000	0x000000af49bb0000	0x5000	0x5000	READWRITE	PRIVATE
region_0149_0x000000af49bcb000_0x5000_PRIVATE_READWRITE.bin	0x000000af49bcb000	0x000000af49bc0000	0x5000	0x5000	READWRITE	PRIVATE
region_0150_0x000000af49bdc000_0x4000_PRIVATE_READWRITE.bin	0x000000af49bdc000	0x000000af49bd0000	0x4000	0x4000	READWRITE	PRIVATE
region_0151_0x000000af49bec000_0x4000_PRIVATE_READWRITE.bin	0x000000af49bec000	0x000000af49be0000	0x4000	0x4000	READWRITE	PRIVATE
region_0152_0x000000af49d2d000_0x3000_PRIVATE_READWRITE.bin	0x000000af49d2d000	0x000000af49c30000	0x3000	0x3000	READWRITE	PRIVATE
region_0153_0x000000af49e10000_0x20000_PRIVATE_READWRITE.bin	0x000000af49e10000	0x000000af49d30000	0x20000	0x20000	READWRITE	PRIVATE
